App Name,Notes,Category,Deployment Model (Verified),Vendor Website,Installation Guide Link,Canonical Vendor,Canonical Product Name,Canonical Key,Canonical Group ID,Possible Duplicate,Enrichment Status,Third Party?,Co-Traveler?
4th Dimension (4D),4D SAS | 4 Best Effort | Redeploy | Cloud Support | Phase I | 4D development platform for business applications is a relational database management system and integrated development environment,Administration / ERP,Cloud / SaaS (or Hybrid),,,,4th Dimension (4D),4th Dimension (4D),12,Yes,,,
Alertus,"Alertus | 1 | 9 Unknown | Relocate | Cloud Support | Phase I | Alertus Server is software which provides middleware and user interfaces to support emergency notification. This technology is used for overriding computer displays across user networks with critical alert messages. When an alert is initiated, targeted client computers are overridden with a full screen alert containing user organization logos and custom text notifications. Recipients can click an acknowledgment button at the bottom of their screen to close the alert and simultaneously provide acknowledgement to safety officials who originated the notification. | Only exists in Toumey, likely to be retired? | Alertus Contact Info & Server Specs (need to create an account to view)",Administration / ERP,Cloud / SaaS (or Hybrid),,,,Alertus,Alertus,46,Yes,,,
DCWVPKMS001C.inovaad.org,DCWVPKMS001C | 2 | 8192 | 1 | 2 | 97280 | 10.4.8.56 | Server Operations | Azure Migrate | Microsoft KMS | APPLICATION:     KMS Server     CONTACT:      Lonny Combs     DEPARTMENT:      Server Engineering      | Nokes DataCenter | Infrastructure 1 | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,DCWVPKMS001C.inovaad.org,DCWVPKMS001C.inovaad.org,173,,,,
Dialogic Brooktrout,"Dialogic | 1 | 9 Unknown | Retain | Dialogic Brooktrout is a product line offered by Dialogic Corporation. It provides a range of high-performance fax and voice over IP (VoIP) boards, software, and solutions for developers, system integrators, and service providers. Brooktrout products are designed to enable reliable and secure fax and voice communications over traditional telephony networks and IP networks. They are commonly used in industries such as healthcare, finance, and government where secure and efficient fax and voice communication is critical. | Dialogic Brooktrout is specifically for connecting to traditional telephony networks. If this functionality is still needed (e.g. QS/1), it should not be move to the cloud.",Administration / ERP,Cloud / SaaS (or Hybrid),,,,Dialogic Brooktrout,Dialogic Brooktrout,213,Yes,,,
Dialogic Brooktrout,"Dialogic | 9 Unknown | Retain | Dialogic Brooktrout is a product line offered by Dialogic Corporation. It provides a range of high-performance fax and voice over IP (VoIP) boards, software, and solutions for developers, system integrators, and service providers. Brooktrout products are designed to enable reliable and secure fax and voice communications over traditional telephony networks and IP networks. They are commonly used in industries such as healthcare, finance, and government where secure and efficient fax and voice communication is critical.",Administration / ERP,Unknown / Needs vendor check,,,,Dialogic Brooktrout,Dialogic Brooktrout,213,Yes,,,
Heartlab Encompass Diagnostics,"Heartlab | 3 Important | Retire | Heartbase is a cardiovascular information system (CVIS) developed by Heartbase, Inc. It is designed to streamline and optimize cardiovascular data management, offering comprehensive solutions for clinical reporting, data analysis, quality metrics, and registry submissions. Heartbase aims to improve efficiency and enhance patient care by providing clinicians with accurate and accessible cardiovascular data.",Administration / ERP,Unknown / Needs vendor check,,,,Heartlab Encompass Diagnostics,Heartlab Encompass Diagnostics,316,Yes,,,
Hyland OnBase,"An enterprise content management system for capturing, managing and securing business documents and processes | Yes - SaaS",Administration / ERP,Cloud / SaaS (or Hybrid),,,Hyland,OnBase,Hyland OnBase,319,,,Yes,Yes
Hyland OneContent,"Hyland Software, Inc | 16 | 4 Best Effort | Tuomey | Enterprise Systems | Deitra Troy | Libby McMillan | Retire | Electronic medical record software for Sumter acute setting.  Equivalent of OnBase. | Being converted to OnBase",Administration / ERP,Unknown / Needs vendor check,,,,Hyland OneContent,Hyland OneContent,320,Yes,,,
Hyland OneContent,"Hyland Software, Inc | 4 Best Effort | Retire | Electronic medical record software for Sumter acute setting.  Equivalent of OnBase.",Administration / ERP,Unknown / Needs vendor check,,,,Hyland OneContent,Hyland OneContent,320,Yes,,,
Infor Lawson ERP,"Infor Lawson | 2 Critical | Relocate | Cloud Support | Phase I | Infor Lawson ERP is an enterprise resource planning (ERP) software developed by Infor. Infor Lawson ERP offers a comprehensive suite of integrated applications that help organizations manage various aspects of their operations, including finance, human resources, supply chain management, procurement, and analytics.",Administration / ERP,Cloud / SaaS (or Hybrid),,,,Infor Lawson ERP,Infor Lawson ERP,344,Yes,,,
Microsoft System Center Configuration Manager,"Microsoft | 14 | 3 Important | Upstate | Configuration Management | Greg Johnson | Redeploy | Cloud Support | Phase 0 Infra | System Center Configuration Manager (SCCM) is a comprehensive management solution offered by Microsoft that enables IT administrators to manage and deploy software, updates, and operating systems across a large number of devices within an organization. SCCM provides a centralized platform for managing the configuration and security of devices, ensuring compliance, and streamlining IT operations. | Deploying and running Orchestrator on a virtualized operating system is fully supported. Any of the Orchestrator roles can also be run on a virtualized server running in Microsoft Azure. A node would be deployed in Azure, likely would not be relocated.",Administration / ERP,Cloud / SaaS (or Hybrid),,,,Microsoft System Center Configuration Manager,Microsoft System Center Configuration Manager,426,Yes,,,
Microsoft System Center Orchestrator,"Microsoft | 18 | 3 Important | Systems Admin | Greg Johnson | Redeploy | Cloud Support | Phase 0 Infra | No | System Center Orchestrator, now known as Microsoft Endpoint Orchestrator, is an automation and workflow management tool offered by Microsoft. It is part of the Microsoft System Center suite of products and is designed to help IT administrators automate and streamline repetitive tasks and processes within their IT infrastructure. | Deploying and running Orchestrator on a virtualized operating system is fully supported. Any of the Orchestrator roles can also be run on a virtualized server running in Microsoft Azure. A node would be deployed in Azure, likely would not be relocated.",Administration / ERP,Cloud / SaaS (or Hybrid),,,,Microsoft System Center Orchestrator,Microsoft System Center Orchestrator,427,Yes,,,
Microsoft System Center Orchestrator,"Microsoft | 3 Important | Redeploy | Cloud Support | Phase 0 Infra | System Center Orchestrator, now known as Microsoft Endpoint Orchestrator, is an automation and workflow management tool offered by Microsoft. It is part of the Microsoft System Center suite of products and is designed to help IT administrators automate and streamline repetitive tasks and processes within their IT infrastructure.",Administration / ERP,Cloud / SaaS (or Hybrid),,,,Microsoft System Center Orchestrator,Microsoft System Center Orchestrator,427,Yes,,,
Microsoft Systems Center Operations Manager,"Microsoft | 4 | 3 Important | Systems Admin | Greg Johnson | Redeploy | Cloud Support | Phase 0 Infra | System Center Operations Manager (SCOM) is a comprehensive monitoring and management solution offered by Microsoft. It is part of the Microsoft System Center suite of products and is designed to help IT administrators monitor the health, performance, and availability of IT infrastructure components, applications, and services. | Deploying and running Orchestrator on a virtualized operating system is fully supported. Any of the Orchestrator roles can also be run on a virtualized server running in Microsoft Azure. A node would be deployed in Azure, likely would not be relocated.",Administration / ERP,Cloud / SaaS (or Hybrid),,,,Microsoft Systems Center Operations Manager,Microsoft Systems Center Operations Manager,428,Yes,,,
NBWINKMS102C.net.inova.org,NBWINKMS102C | 2 | 8192 | 1 | 1 | 61440 | 10.4.10.43 | Server Operations | Azure Migrate | Microsoft KMS | DEPARTMENT:      IT Windows Server Ops     APPLICATION:      KMS License Server     CONTACT:      Todd Beck      | Nokes DataCenter | Infrastructure 1 | Microsoft Windows Server 2012 (64-bit),Administration / ERP,On-Premises,,,,NBWINKMS102C.net.inova.org,NBWINKMS102C.net.inova.org,466,,,,
NBWINLIM003W.net.inova.org,"NBWINLIM003W | 2 | 12288 | 1 | 2 | 163840 | 10.161.110.234 | Research | Azure Migrate | Jasper Reporting | APPLICATION:     ITMI Jasper Reporting               DEPARTMENT:      Data Analytics Team     APPLICATION:      ITMI LIM     CONTACT:      Mouneer Odeh / Darwin Leung     APPLICATION:     ITMI Jasper Reporting     CONTACT:      Plaussiou, Nick/Tallant, Alex     DEPARTMENT:      ITMI      | Nokes DataCenter | Apps | Microsoft Windows Server 2012 (64-bit)",Administration / ERP,On-Premises,,,,NBWINLIM003W.net.inova.org,NBWINLIM003W.net.inova.org,467,,,,
NBWINMHC001A.net.inova.org,NBWINMHC001A | 1 | 4096 | 1 | 2 | 76800 | 10.161.98.26 | Business Applications | Azure Migrate | MHC Express | MHC Express Finance Dept     APPLICATION:     MHC Document Express     CONTACT:      John Binder     APPLICATION:     MHC Document Express     CONTACT:      Apps     DEPARTMENT:      Marty Fordham      | Nokes DataCenter | Apps | Microsoft Windows Server 2008 R2 (64-bit),Administration / ERP,On-Premises,,,,NBWINMHC001A.net.inova.org,NBWINMHC001A.net.inova.org,470,,,,
NBWINSAS101A.net.inova.org,NBWINSAS101A | 2 | 28672 | 1 | 3 | 1884126 | 10.161.111.127 | Data Analytics | Azure Migrate | SAS | APPLICATION:      SAS 9.4      CONTACT:      Kristina Brown     Inova Analytics | Nokes DataCenter | Apps | Microsoft Windows Server 2012 (64-bit),Administration / ERP,On-Premises,,,,NBWINSAS101A.net.inova.org,NBWINSAS101A.net.inova.org,481,,,,
NBWVNAGP001A.nonprod.inovaad.org,NBWVNAGP001A | 2 | 16384 | 1 | 2 | 235520 | 10.4.8.122 | Server Operations | Azure Migrate | AGPM | APPLICATION:     AGPM Server     CONTACT:      Rick Loveless     DEPARTMENT:      Server Engineering      | Nokes DataCenter | Apps3 NonProd | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVNAGP001A.nonprod.inovaad.org,NBWVNAGP001A.nonprod.inovaad.org,505,,,,
NBWVNENC102G.nonprod.inovaad.org,NBWVNENC102G | 6 | 24576 | 1 | 2 | 2150400 | 10.5.80.161 | Business Applications | Azure Migrate | Encompass 360 | APPLICATION; 360 Encompass  CONTACT: Shruti Kumbhar | Nokes DataCenter | Apps3 NonProd | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVNENC102G.nonprod.inovaad.org,NBWVNENC102G.nonprod.inovaad.org,526,,,,
NBWVNENC103A.nonprod.inovaad.org,NBWVNENC103A | 6 | 32768 | 1 | 2 | 532480 | 10.5.80.164 | Business Applications | Azure Migrate | Encompass 360 | APPLICATION; 360 Encompass  CONTACT: Shruti Kumbhar | Nokes DataCenter | Apps3 NonProd | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVNENC103A.nonprod.inovaad.org,NBWVNENC103A.nonprod.inovaad.org,527,,,,
NBWVNENC104A.nonprod.inovaad.org,NBWVNENC104A | 4 | 12288 | 1 | 2 | 184320 | 10.5.80.162 | Business Applications | Azure Migrate | Encompass 360 | APPLICATION; 360 Encompass  CONTACT: Shruti Kumbhar | Nokes DataCenter | Apps3 NonProd | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVNENC104A.nonprod.inovaad.org,NBWVNENC104A.nonprod.inovaad.org,528,,,,
NBWVNENC105W.nonprod.inovaad.org,NBWVNENC105W | 4 | 12288 | 1 | 2 | 184320 | 10.5.80.163 | Business Applications | Azure Migrate | Encompass 360 | APPLICATION; 360 Encompass  CONTACT: Shruti Kumbhar | Nokes DataCenter | Apps3 NonProd | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVNENC105W.nonprod.inovaad.org,NBWVNENC105W.nonprod.inovaad.org,529,,,,
NBWVNENC152G.nonprod.inovaad.org,NBWVNENC152G | 4 | 16384 | 1 | 3 | 1167360 | 10.5.80.154 | Business Applications | Azure Migrate | Encompass 360 | APPLICATION; 360 Encompass  CONTACT: Shruti Kumbhar | Nokes DataCenter | Apps3 NonProd | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVNENC152G.nonprod.inovaad.org,NBWVNENC152G.nonprod.inovaad.org,530,,,,
NBWVNENC153A.nonprod.inovaad.org,NBWVNENC153A | 4 | 16384 | 1 | 2 | 430080 | 10.5.80.151 | Business Applications | Azure Migrate | Encompass 360 | APPLICATION; 360 Encompass  CONTACT: Shruti Kumbhar | Nokes DataCenter | Apps3 NonProd | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVNENC153A.nonprod.inovaad.org,NBWVNENC153A.nonprod.inovaad.org,531,,,,
NBWVNENC154A.nonprod.inovaad.org,NBWVNENC154A | 4 | 12288 | 1 | 2 | 184320 | 10.5.80.153 | Business Applications | Azure Migrate | Encompass 360 | APPLICATION; 360 Encompass  CONTACT: Shruti Kumbhar | Nokes DataCenter | Apps3 NonProd | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVNENC154A.nonprod.inovaad.org,NBWVNENC154A.nonprod.inovaad.org,532,,,,
NBWVNENC155W.nonprod.inovaad.org,NBWVNENC155W | 4 | 12288 | 1 | 2 | 184320 | 10.5.80.152 | Business Applications | Azure Migrate | Encompass 360 | APPLICATION; 360 Encompass  CONTACT: Shruti Kumbhar | Nokes DataCenter | Apps3 NonProd | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVNENC155W.nonprod.inovaad.org,NBWVNENC155W.nonprod.inovaad.org,533,,,,
NBWVNHOB001A.nonprod.inovaad.org,NBWVNHOB001A | 4 | 16384 | 1 | 2 | 184320 | 10.5.80.195 | Ancillary Clinical Apps | Azure Migrate | OnBase | APP: Hyland OnBase Owner: Laurie Eccleston  SysAdmin: Russell Williams RITM1047151 | Nokes DataCenter | Apps3 NonProd | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVNHOB001A.nonprod.inovaad.org,NBWVNHOB001A.nonprod.inovaad.org,543,,,,
NBWVNORC001A.nonprod.inovaad.org,NBWVNORC001A | 4 | 16384 | 2 | 2 | 163840 | 10.4.9.39 | Server Engineering | Azure Migrate | MS Orchestrator 2022 | APPLICATION: MS Orchestrator 2022 IT Server Engineering Todd Beck Shafiq Qaderi CHG0319275 | Nokes DataCenter | Infrastructure 1 | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVNORC001A.nonprod.inovaad.org,NBWVNORC001A.nonprod.inovaad.org,589,,,,
NBWVPAGP003A.inovaad.org,NBWVPAGP003A | 2 | 16384 | 1 | 2 | 235520 | 10.4.8.120 | Server Operations | Azure Migrate | AGPM | APPLICATION:     AGPM Server     CONTACT:      Rick Loveless     DEPARTMENT:      Server Engineering      | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVPAGP003A.inovaad.org,NBWVPAGP003A.inovaad.org,655,,,,
NBWVPAGP004A.net.inova.org,NBWVPAGP004A | 2 | 16384 | 1 | 2 | 235520 | 10.4.8.121 | Server Operations | Azure Migrate | AGPM | APPLICATION:     AGPM Server     CONTACT:      Rick Loveless     DEPARTMENT:      Server Engineering      | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVPAGP004A.net.inova.org,NBWVPAGP004A.net.inova.org,656,,,,
NBWVPCCR002A.prod.inovaad.org,NBWVPCCR002A | 4 | 32768 | 1 | 2 | 286720 | 10.4.4.62 | Safety and Security | Azure Migrate | Ccure | CCURE SAS APPLICATION Server for Fairfax Hospital | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVPCCR002A.prod.inovaad.org,NBWVPCCR002A.prod.inovaad.org,716,,,,
NBWVPCCR003A.prod.inovaad.org,NBWVPCCR003A | 4 | 32768 | 1 | 2 | 286720 | 10.4.4.63 | Safety and Security | Azure Migrate | Ccure | CCURE SAS APPLICATION Server for ICPH | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVPCCR003A.prod.inovaad.org,NBWVPCCR003A.prod.inovaad.org,717,,,,
NBWVPCCR004A.prod.inovaad.org,NBWVPCCR004A | 4 | 32768 | 1 | 2 | 286720 | 10.4.4.64 | Safety and Security | Azure Migrate | Ccure | CCURE SAS APPLICATION Server for Alexandria | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVPCCR004A.prod.inovaad.org,NBWVPCCR004A.prod.inovaad.org,718,,,,
NBWVPCCR005A.prod.inovaad.org,NBWVPCCR005A | 4 | 32768 | 1 | 2 | 286720 | 10.4.4.35 | Safety and Security | Azure Migrate | Ccure | CCURE SAS APPLICATION Server for IT Lock System | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVPCCR005A.prod.inovaad.org,NBWVPCCR005A.prod.inovaad.org,719,,,,
NBWVPCCR008A.prod.inovaad.org,NBWVPCCR008A | 4 | 32768 | 1 | 2 | 286720 | 10.4.4.68 | Safety and Security | Azure Migrate | Ccure | CCURE (Victor) SAS APPLICATION Server for Fair Oaks Hospital Carl Bayer | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVPCCR008A.prod.inovaad.org,NBWVPCCR008A.prod.inovaad.org,722,,,,
NBWVPENC101A.prod.inovaad.org,NBWVPENC101A | 12 | 65536 | 1 | 2 | 665600 | 10.5.7.28 | Business Applications | Azure Migrate | Encompass 360 | APPLICATION; 360 Encompass  CONTACT: Shruti Kumbhar | Nokes DataCenter | PITA | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVPENC101A.prod.inovaad.org,NBWVPENC101A.prod.inovaad.org,763,,,,
NBWVPENC101G.prod.inovaad.org,NBWVPENC101G | 12 | 49152 | 1 | 3 | 3389440 | 10.5.7.26 | Business Applications | Azure Migrate | Encompass 360 | APPLICATION; 360 Encompass  CONTACT: Shruti Kumbhar | Nokes DataCenter | PITA | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVPENC101G.prod.inovaad.org,NBWVPENC101G.prod.inovaad.org,764,,,,
NBWVPENC101W.prod.inovaad.org,NBWVPENC101W | 8 | 36864 | 1 | 2 | 271360 | 10.5.7.24 | Business Applications | Azure Migrate | Encompass 360 | APPLICATION; 360 Encompass  CONTACT: Shruti Kumbhar | Nokes DataCenter | PITA | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVPENC101W.prod.inovaad.org,NBWVPENC101W.prod.inovaad.org,765,,,,
NBWVPENC102A.prod.inovaad.org,NBWVPENC102A | 8 | 24576 | 1 | 2 | 204800 | 10.5.7.25 | Business Applications | Azure Migrate | Encompass 360 | APPLICATION; 360 Encompass  CONTACT: Shruti Kumbhar | Nokes DataCenter | PITA | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,On-Premises,,,,NBWVPENC102A.prod.inovaad.org,NBWVPENC102A.prod.inovaad.org,766,,,,
NBWVPHOB001F.prod.inovaad.org,"NBWVPHOB001F | 4 | 49152 | 1 | 2 | 163840 | 10.5.8.196 | Ancillary Clinical Apps | Azure Migrate | OnBase | Application: Hyland OnBase Fax server, Support Group: OnBase-Unity, Contact: Russell Williams, Laurie Eccleston | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit)",Administration / ERP,On-Premises,,,,NBWVPHOB001F.prod.inovaad.org,NBWVPHOB001F.prod.inovaad.org,812,,,,
NBWVPHOB002A.prod.inovaad.org,"NBWVPHOB002A | 4 | 49152 | 1 | 2 | 163840 | 10.5.8.197 | Ancillary Clinical Apps | Azure Migrate | OnBase | Application: Hyland OnBase App server, Support Group: OnBase-Unity, Contact: Russell Williams, Laurie Eccleston | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit)",Administration / ERP,On-Premises,,,,NBWVPHOB002A.prod.inovaad.org,NBWVPHOB002A.prod.inovaad.org,813,,,,
NBWVPKMS101C.inovaad.org,"NBWVPKMS101C | 8 | 12288 | 1 | 2 | 133120 | 10.4.8.45 | Server Operations | Azure Migrate | MS KMS License Server Server | Application: MS KMS License Server, Support Group: IT Windows Ops, Contact: Kameil Natour, Todd Beck | Nokes DataCenter | Infrastructure 1 | Microsoft Windows Server 2016 or later (64-bit)",Administration / ERP,On-Premises,,,,NBWVPKMS101C.inovaad.org,NBWVPKMS101C.inovaad.org,905,,,,
NBWVPMID001A.prod.inovaad.org,NBWVPMID001A | 4 | 8192 | 1 | 2 | 122880 | 10.4.8.133 | Service Delivery | Azure Migrate | ServiceNow | APPLICATION:     ServiceNow and NTM MID     CONTACT:      Sivasankar Nandigam     DEPARTMENT:      Server Engineering      | Nokes DataCenter | Infrastructure 1 | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,Cloud / SaaS (or Hybrid),,,,NBWVPMID001A.prod.inovaad.org,NBWVPMID001A.prod.inovaad.org,920,,,,
NBWVPMID002A.prod.inovaad.org,NBWVPMID002A | 4 | 8192 | 1 | 2 | 122880 | 10.4.8.134 | Service Delivery | Azure Migrate | ServiceNow | APPLICATION:     ServiceNow and NTM MID     CONTACT:      Sivasankar Nandigam     DEPARTMENT:      Server Engineering      | Nokes DataCenter | Infrastructure 1 | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,Cloud / SaaS (or Hybrid),,,,NBWVPMID002A.prod.inovaad.org,NBWVPMID002A.prod.inovaad.org,921,,,,
NBWVPMID002G.prod.inovaad.org,NBWVPMID002G | 2 | 6144 | 1 | 2 | 133120 | 10.4.8.73 | Service Delivery | Azure Migrate | ServiceNow | APPLICATION:     ServiceNow and NTM MID     CONTACT:      Sivasankar Nandigam     DEPARTMENT:      Server Engineering      | Nokes DataCenter | Infrastructure 1 | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,Cloud / SaaS (or Hybrid),,,,NBWVPMID002G.prod.inovaad.org,NBWVPMID002G.prod.inovaad.org,922,,,,
NBWVPMID003A.prod.inovaad.org,NBWVPMID003A | 4 | 8192 | 1 | 2 | 122880 | 10.4.8.135 | Service Delivery | Azure Migrate | ServiceNow | APPLICATION:     ServiceNow and NTM MID     CONTACT:      Sivasankar Nandigam     DEPARTMENT:      Server Engineering      | Nokes DataCenter | Infrastructure 1 | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,Cloud / SaaS (or Hybrid),,,,NBWVPMID003A.prod.inovaad.org,NBWVPMID003A.prod.inovaad.org,923,,,,
NBWVPMID003G.prod.inovaad.org,NBWVPMID003G | 2 | 6144 | 1 | 2 | 133120 | 10.4.8.111 | Service Delivery | Azure Migrate | ServiceNow | APPLICATION:     ServiceNow MID server     CONTACT:      Sreenivasulu Yallasiri     DEPARTMENT:      Server Engineering      | Nokes DataCenter | Apps | Microsoft Windows Server 2016 or later (64-bit),Administration / ERP,Cloud / SaaS (or Hybrid),,,,NBWVPMID003G.prod.inovaad.org,NBWVPMID003G.prod.inovaad.org,924,,,,
